,link,reviews,score,star,short_name
AMOY by Far East Hospitality (SG Clean Certified),https://www.agoda.com/en-us/amoy-by-far-east-hospitality/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-27&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=09a64f42-4335-4282-8baf-db9bdd91a452,748,0,0,amoy-by-far-east-hospitality
ZEN Premium Kampong Glam,https://www.agoda.com/en-us/zen-premium-kampong-glam_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,130,0,0,zen-premium-kampong-glam_2
Hotel 165,https://www.agoda.com/en-us/hotel-165/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1655,6.5,2,hotel-165
YWCA Fort Canning (SG Clean Certified),https://www.agoda.com/en-us/fort-canning-lodge/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,5660,7.4,0,fort-canning-lodge
Hotel 81 Dickson,https://www.agoda.com/en-us/hotel-81-dickson/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,7214,0,0,hotel-81-dickson
Hotel 81 Chinatown,https://www.agoda.com/en-us/hotel-81-chinatown/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,3370,6.9,2,hotel-81-chinatown
K Space Inn 569,https://www.agoda.com/en-us/k-space-inn-569/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,72,7.9,2,k-space-inn-569
Lodge 41,https://www.agoda.com/en-us/lodge-41/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=6&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,772,8.1,0,lodge-41
Singapore Marriott Tang Plaza Hotel (SG Clean Certified),"https://www.agoda.com/en-us/singapore-marriott-tang-plaza-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-28&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=5,16&los=1&searchrequestid=fd2ef17b-f55c-4bce-a75b-5142041592b6",1215,8.5,5,singapore-marriott-tang-plaza-hotel
RedDoorz Premium @ Balestier (SG Clean Certified),https://www.agoda.com/en-us/reddoorz-premium-balestier/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,232,7.7,3,reddoorz-premium-balestier
Hotel 81 Balestier,https://www.agoda.com/en-us/hotel-81-balestier/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,409,6.5,2,hotel-81-balestier
Hotel 81 Princess (SG Clean Certified),https://www.agoda.com/en-us/hotel-81-princess/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,2716,6.7,2,hotel-81-princess
Hotel 81 Kovan,https://www.agoda.com/en-us/hotel-81-kovan/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1360,6.5,2,hotel-81-kovan
New Cape Inn,https://www.agoda.com/en-us/new-cape-inn/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,1848,7,0,new-cape-inn
"The Vagabond Club, Singapore, a Tribute Portfolio Hotel","https://www.agoda.com/en-us/the-vagabond-club-singapore-a-tribute-portfolio-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=5,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",175,8.7,5,the-vagabond-club-singapore-a-tribute-portfolio-hotel
VIP Hotel,https://www.agoda.com/en-us/vip-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1601,0,0,vip-hotel
ibis budget Singapore Pearl (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-pearl/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,3669,7.3,2,fragrance-hotel-pearl
K Hotel 12,https://www.agoda.com/en-us/k-hotel-12/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=3&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,479,5.7,3,k-hotel-12
RedDoorz Hostel @ Little India,https://www.agoda.com/en-us/reddoorz-hostel-little-india/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,60,7.3,2,reddoorz-hostel-little-india
GALLOP HILL TOP RESORT,https://www.agoda.com/en-us/gallop-hill-top-resort/hotel/all/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,44,6.9,0,gallop-hill-top-resort
ibis budget Singapore Imperial (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-imperial/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,220,7.7,0,fragrance-hotel-imperial
YMCA @ One Orchard,https://www.agoda.com/en-us/ymca-one-orchard/hotel/all/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,3057,8,0,ymca-one-orchard
Executive Master Bedroom with Nature Environment,https://www.agoda.com/en-us/executive-suite-master-bedroom/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,4,5.3,0,executive-suite-master-bedroom
Diamond Hotel,https://www.agoda.com/en-us/diamond-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,157,0,1,diamond-hotel
CUBE Family Boutique Capsule Hotel @ Chinatown (SG Clean Certified),https://www.agoda.com/en-us/cube-family-boutique-capsule-hotel-chinatown/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,185,7.7,0,cube-family-boutique-capsule-hotel-chinatown
Atlantis Pods @ Chinatown,"https://www.agoda.com/en-us/atlantis-pods-chinatown/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",437,8.4,0,atlantis-pods-chinatown
Fragrance Hotel - Oasis (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-oasis/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,3098,7.2,0,fragrance-hotel-oasis
Jayleen Clarke Quay Hotel (SG Clean Certified),https://www.agoda.com/en-us/jayleen-clarke-quay-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,573,7.8,0,jayleen-clarke-quay-hotel
Atlantis Pods @ Little India,https://www.agoda.com/en-us/atlantis-pods-little-india/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,221,7.9,2,atlantis-pods-little-india
Q Loft Hotels@Geylang,https://www.agoda.com/en-us/q-loft-hotels-geylang/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,52,7.3,0,q-loft-hotels-geylang
Jayleen 1918 Hotel (SG Clean Certified),https://www.agoda.com/en-us/jayleen-1918-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1373,7.5,0,jayleen-1918-hotel
5footway.inn Project Chinatown,"https://www.agoda.com/en-us/5footway-inn-project-chinatown/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f",3626,7.7,2,5footway-inn-project-chinatown
Bond Boutique Capsule Hotel,"https://www.agoda.com/en-us/bond-boutique-capsule-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",401,8.2,0,bond-boutique-capsule-hotel
Hotel Clover The Arts,"https://www.agoda.com/en-us/hotel-clover-the-arts/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=4,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",1421,7.9,0,hotel-clover-the-arts
Hotel 81 Osaka,https://www.agoda.com/en-us/hotel-81-osaka/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,3073,7.1,2,hotel-81-osaka
ibis budget Singapore Mount Faber (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-royal/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1944,6.8,2,fragrance-hotel-royal
ZEN Rooms Clarke Quay,https://www.agoda.com/en-us/zen-rooms-clarke-quay/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,174,7.6,3,zen-rooms-clarke-quay
Campbell Inn,https://www.agoda.com/en-us/campbell-inn_3/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,138,6.9,0,campbell-inn_3
Asphodel Inn,https://www.agoda.com/en-us/asphodel-inn/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,975,6.6,2,asphodel-inn
Fragrance Hotel - Ocean View (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-ocean-view/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,433,6.2,2,fragrance-hotel-ocean-view
Perak Hotel,"https://www.agoda.com/en-us/perak-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=3,16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f",1233,7.5,3,perak-hotel
Greendili Backpackers Hostel,https://www.agoda.com/en-us/greendili-backpackers-hostel_3/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,339,6.7,2,greendili-backpackers-hostel_3
The Pod @ Beach Road Boutique Capsule Hotel (SGClean Certified),"https://www.agoda.com/en-us/the-pod-beach-road-boutique-capsule-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=2,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",5333,8.5,2,the-pod-beach-road-boutique-capsule-hotel
Traveller@SG Hostel,"https://www.agoda.com/en-us/traveller-sg-hostel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",1446,7.8,1,traveller-sg-hostel
"Park View Hotel (SG Clean, Staycation Approved)",https://www.agoda.com/en-us/park-view-hotel-sg-clean-staycation-approved/hotel/all/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,1638,7.4,3,park-view-hotel-sg-clean-staycation-approved
Dream Lodge,"https://www.agoda.com/en-us/dream-lodge/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1,16&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f",1026,9.3,2,dream-lodge
OSS Backpackers Hostel,"https://www.agoda.com/en-us/oss-backpackers-hostel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=1,16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29",255,8.2,1,oss-backpackers-hostel
Sandpiper Hotel (SG Clean Certified),https://www.agoda.com/en-us/sandpiper-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,1160,6.2,3,sandpiper-hotel
Fragrance Hotel - Balestier (SG Clean Certified),https://www.agoda.com/en-us/fragrance-hotel-balestier/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,1331,7.2,0,fragrance-hotel-balestier
Mori Hostel Singapore,https://www.agoda.com/en-us/mori-hostel-singapore/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,63,6.6,0,mori-hostel-singapore
The Hive Singapore Hostel,https://www.agoda.com/en-us/the-hive-singapore-hostel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,863,8.1,1,the-hive-singapore-hostel
K2 Guest House,https://www.agoda.com/en-us/k2-guest-house_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,281,0,0,k2-guest-house_2
Hipstercity Hostel,https://www.agoda.com/en-us/hipstercity_2/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-27&childAges=&defaultChildAge=8&travellerType=-1&los=1&searchrequestid=09a64f42-4335-4282-8baf-db9bdd91a452,6,0,2,hipstercity_2
Hotel 81 Lucky (SG Clean Certified),https://www.agoda.com/en-us/hotel-81-lucky/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-29&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=9&los=1&searchrequestid=532b77ae-ad73-49b4-9e69-9cf2502fe80f,2526,0,2,hotel-81-lucky
Marrison Hotel (SG Clean Certified),https://www.agoda.com/en-us/marrison-hotel/hotel/singapore-sg.html?finalPriceView=0&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&isAgMse=false&ccallout=false&defdate=false&voucherMode=false&adults=1&children=0&rooms=1&maxRooms=9&checkIn=2020-11-30&childAges=&defaultChildAge=8&travellerType=-1&tspTypes=16&los=1&searchrequestid=113c6cc6-25db-42db-8343-656c8db61f29,5897,6.9,3,marrison-hotel
